Hale and Hearty,soup,salad,sandwich
Roti,novelty,mediteranean
Fields Good Chicken,bowls,homefoods
Subway,sandwich
Dig Inn,novelty,homefoods
The Melt Shop,novelty,sandwich
Chipotle,bowls
Bon Chon,fried,bowls
Sophie's,novelty,sandwich
Dos Toros,bowls,Mexican
Flavors,sandwich,soup,pasta
Smashburger,hamburger,salad
Schnippers,sandwich,hamburger
Open Kitchen,novelty,sandwich,salad
Pita Press,novelty,greek
Terri,novelty,sandwich,wraps
Luke's Lobster,novelty,sandwich
Potbelly,sandwich,wraps
Vietspot,novelty,sandwich
Lenwich,sandwich,soup
El Luchador,novelty,mexican
Chopt,salad,wraps
Koyzina Kafe,cafeteria,sandwich,soup,salad,wraps
Neapolitan Express,pizza
Underground Pizza,pizza
GRK,novelty,greek
Just Salad,salad
Zeytuna,cafeteria,sandwich,sushi,salad
Jersey Mike's,sandwich
Au Bon Pain,salad,sandwich,wraps
Diwan E Khaas,novelty,indian
